DATE_ONLY,TIME,CAMPUS,TARGET ROOM,ROOM EXAM CAPACITY,TOTAL_STUDENTS,COURSES MERGED,UTILIZATION
2025-12-17,13g00,CS1,B8-303,33,4,CI1003(4),0.12121212121212122
2025-12-17,13g00,CS2,H2-201,82,82,CI2095(82),1.0
2025-12-17,13g00,CS2,H2-206,82,82,CI2095(82),1.0
2025-12-17,13g00,CS2,H2-301,82,82,CO2003(82),1.0
2025-12-17,13g00,CS2,H2-306,82,82,CO1003(82),1.0
2025-12-17,13g00,CS2,H2-401,82,82,CI2095(82),1.0
2025-12-17,13g00,CS2,H2-406,82,82,CO2003(82),1.0
2025-12-17,13g00,CS2,H6-811,79,79,CO1003(79),1.0
2025-12-17,13g00,CS2,H6-308,76,76,CO2003(76),1.0
2025-12-17,13g00,CS2,H3-201,75,75,ME2123(75),1.0
2025-12-17,13g00,CS2,H3-301,75,75,CO2003(75),1.0
2025-12-17,13g00,CS2,H3-306,75,75,TR3143(75),1.0
2025-12-17,13g00,CS2,H3-401,75,75,CI2095(75),1.0
2025-12-17,13g00,CS2,H3-406,75,75,CO1003(75),1.0
2025-12-17,13g00,CS2,H3-501,75,75,CH2013(75),1.0
2025-12-17,13g00,CS2,H3-506,75,75,IM3087(75),1.0
2025-12-17,13g00,CS2,H1-101,73,73,IM3087(73),1.0
2025-12-17,13g00,CS2,H1-104,73,73,CH2013(73),1.0
2025-12-17,13g00,CS2,H1-307,71,71,CO1003(71),1.0
2025-12-17,13g00,CS2,H2-207,71,71,CO3027(71),1.0
2025-12-17,13g00,CS2,H6-311,71,71,CI2095(71),1.0
2025-12-17,13g00,CS2,H1-204,68,68,EE1007(68),1.0
2025-12-17,13g00,CS2,H6-113,68,68,CO2003(68),1.0
2025-12-17,13g00,CS2,H6-305,68,68,TR3143(68),1.0
2025-12-17,13g00,CS2,H1-401,66,66,CI1003(66),1.0
2025-12-17,13g00,CS2,H1-404,66,66,ME2123(66),1.0
2025-12-17,13g00,CS2,H6-211,66,66,IM3087(66),1.0
2025-12-17,13g00,CS2,H6-412,65,65,CH2013(65),1.0
