KEY,DATE,TIME,CAMPUS,TARGET ROOM,EXAM CAPACITY,TOTAL STUDENTS,COURSES MERGED,UTILIZATION
03/01/2026_09g30_2,,09g30,CS2,H6-306,42,39,SP1035(39),0.9285714285714286
03/01/2026_09g30_2,,09g30,CS2,H6-311,71,39,SP1035(39),0.5492957746478874
03/01/2026_09g30_2,,09g30,CS2,H6-415,42,39,SP1035(39),0.9285714285714286
03/01/2026_09g30_2,,09g30,CS2,H1-104,73,32,SP1035(32),0.4383561643835616
03/01/2026_09g30_2,,09g30,CS2,H1-103,47,31,SP1035(31),0.6595744680851063
03/01/2026_09g30_2,,09g30,CS2,H1-102,49,27,SP1035(27),0.5510204081632653
03/01/2026_13g00_1,,13g00,CS1,B5-GD,130,129,"IM1019(45), TR2039(42), CH5607(30), CH5653(12)",0.9923076923076923
03/01/2026_13g00_1,,13g00,CS1,B4-502,42,40,IM1019(40),0.9523809523809523
03/01/2026_13g00_1,,13g00,CS1,B4-501,42,30,IM1019(30),0.7142857142857143
03/01/2026_13g00_1,,13g00,CS1,B4-305,42,29,CO5185(29),0.6904761904761905
03/01/2026_13g00_1,,13g00,CS1,B4-504,32,25,IM1019(25),0.78125
03/01/2026_13g00_1,,13g00,CS1,B4-306,42,39,"CI5253(22), CH5607(17)",0.9285714285714286
03/01/2026_13g00_1,,13g00,CS1,B4-303,32,16,CH4087(16),0.5
03/01/2026_13g00_2,,13g00,CS2,NTD,300,235,"CH4087(47), IM1019(41), EN1005(40), TR2039(40), EE3171(33), ME2071(23), IU1005(11)",0.7833333333333333
03/01/2026_13g00_2,,13g00,CS2,H6-110,42,40,EN1005(40),0.9523809523809523
03/01/2026_13g00_2,,13g00,CS2,H6-205,62,57,"IM1019(40), TR2039(17)",0.9193548387096774
03/01/2026_13g00_2,,13g00,CS2,H6-208,62,40,IM1019(40),0.6451612903225806
03/01/2026_13g00_2,,13g00,CS2,H6-210,42,40,IM1019(40),0.9523809523809523
03/01/2026_13g00_2,,13g00,CS2,H6-211,66,40,IM1019(40),0.6060606060606061
03/01/2026_13g00_2,,13g00,CS2,H6-206,42,39,IM1019(39),0.9285714285714286
03/01/2026_15g30_1,,15g30,CS1,B5-GD,130,46,CO3043(46),0.35384615384615387
03/01/2026_15g30_1,,15g30,CS1,B4-405,32,25,CO3043(25),0.78125
03/01/2026_15g30_2,,15g30,CS2,NTD,300,50,CO3043(50),0.16666666666666666
03/01/2026_15g30_2,,15g30,CS2,H6-110,42,40,CO3043(40),0.9523809523809523
03/01/2026_15g30_2,,15g30,CS2,H6-112,42,40,CO3043(40),0.9523809523809523
04/01/2026_07g00_1,,07g00,CS1,B5-GD,130,130,"IM1025(42), TR4087(42), GK5033(40), CI3259(6)",1.0
04/01/2026_07g00_1,,07g00,CS1,B4-501,42,40,"GK5033(35), MA4181(5)",0.9523809523809523
04/01/2026_07g00_1,,07g00,CS1,B4-502,42,42,"GK5033(32), CH4115(10)",1.0
04/01/2026_07g00_1,,07g00,CS1,B4-303,32,31,EE3411(31),0.96875
04/01/2026_07g00_1,,07g00,CS1,B4-306,42,30,AS2013(30),0.7142857142857143
04/01/2026_07g00_1,,07g00,CS1,B4-302,32,30,EE3411(30),0.9375
04/01/2026_07g00_1,,07g00,CS1,B1-213,38,30,IM1025(30),0.7894736842105263
04/01/2026_07g00_1,,07g00,CS1,B1-306,44,44,"IM1025(30), CH2109(14)",1.0
04/01/2026_07g00_1,,07g00,CS1,B1-309,30,30,IM1025(30),1.0
04/01/2026_07g00_1,,07g00,CS1,B1-311,42,30,IM1025(30),0.7142857142857143
04/01/2026_07g00_1,,07g00,CS1,B1-315,30,30,IM1025(30),1.0
04/01/2026_07g00_1,,07g00,CS1,B4-402,32,30,IM3073(30),0.9375
