COURSE ID,ROOM ID,DATE,TIME,CAMPUS,STUDENTS,CAPACITY,KEY,EXAM CAPACITY
CI1007,B4-301,18/12/25,13g00,1,21,60,18/12/2025_13g00_1,32
CI1007,B4-501,18/12/25,13g00,1,30,80,18/12/2025_13g00_1,42
CI1007,B4-502,18/12/25,13g00,1,38,80,18/12/2025_13g00_1,42
CO2007,B1-208,18/12/25,13g00,1,43,84,18/12/2025_13g00_1,44
CO2007,B1-212,18/12/25,13g00,1,32,72,18/12/2025_13g00_1,38
CO2007,B1-213,18/12/25,13g00,1,30,72,18/12/2025_13g00_1,38
CO2007,B1-302,18/12/25,13g00,1,30,56,18/12/2025_13g00_1,30
CO2007,B1-303,18/12/25,13g00,1,30,56,18/12/2025_13g00_1,30
CO2007,B1-305,18/12/25,13g00,1,30,72,18/12/2025_13g00_1,38
CO2007,B1-306,18/12/25,13g00,1,42,84,18/12/2025_13g00_1,44
CO2007,B1-308,18/12/25,13g00,1,30,72,18/12/2025_13g00_1,38
CO2007,B1-309,18/12/25,13g00,1,30,56,18/12/2025_13g00_1,30
CO2007,B1-311,18/12/25,13g00,1,42,80,18/12/2025_13g00_1,42
CO2007,B1-313,18/12/25,13g00,1,30,56,18/12/2025_13g00_1,30
CO2007,B1-314,18/12/25,13g00,1,30,56,18/12/2025_13g00_1,30
CO2007,B1-315,18/12/25,13g00,1,30,56,18/12/2025_13g00_1,30
CO3137,B1-215,18/12/25,13g00,1,20,48,18/12/2025_13g00_1,25
CH3327,B1-210,18/12/25,13g00,1,21,48,18/12/2025_13g00_1,25
EE2033,B4-302,18/12/25,13g00,1,26,60,18/12/2025_13g00_1,32
EE2033,B4-303,18/12/25,13g00,1,27,60,18/12/2025_13g00_1,32
EE2033,B4-305,18/12/25,13g00,1,30,80,18/12/2025_13g00_1,42
EE2033,B4-306,18/12/25,13g00,1,30,80,18/12/2025_13g00_1,42
EE2033,B4-401,18/12/25,13g00,1,30,60,18/12/2025_13g00_1,32
